guid,Country,Country:xx,"Country info","Country info:xx",Capital,Capital:xx,"Capital info","Capital info:xx","Capital hint","Capital hint:xx",Flag,"Flag similarity","Flag similarity:xx",Map,tags
pAI(peiC8R,Austria,,,,Vienna,,,,,,"<img src=""ug-flag-austria.svg"" />","Latvia (darker red, narrower white band)",,"<img src=""ug-map-austria.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
ii$pXyvZl*,Azerbaijan,,,,Baku,,,,,,"<img src=""ug-flag-azerbaijan.svg"" />",,,"<img src=""ug-map-azerbaijan.png"" />","UG::Europe UG::Sovereign_State"
"jl7,HNQ-*C",Belarus,,,,Minsk,,,,,,"<img src=""ug-flag-belarus.svg"" />",,,"<img src=""ug-map-belarus.png"" />","UG::Europe UG::Sovereign_State"
h].V+TH66),Belgium,,,,Brussels,,,,"Sovereign country",,"<img src=""ug-flag-belgium.svg"" />",,,"<img src=""ug-map-belgium.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
k#zvw56%32,"Bosnia and Herzegovina",,,,Sarajevo,,,,,,"<img src=""ug-flag-bosnia_and_herzegovina.svg"" />",,,"<img src=""ug-map-bosnia_and_herzegovina.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"
sdBS(n6JY3,Bulgaria,,,,Sofia,,,,,,"<img src=""ug-flag-bulgaria.svg"" />",,,"<img src=""ug-map-bulgaria.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
~W|86[*J^),Croatia,,,,Zagreb,,,,,,"<img src=""ug-flag-croatia.png"" />",,,"<img src=""ug-map-croatia.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"
r8ZO7&APwX,"Czech Republic",,"Also known as Czechia.",,Prague,,,,,,"<img src=""ug-flag-czech_republic.svg"" />",,,"<img src=""ug-map-czech_republic.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
i[lO#Rj1KP,Denmark,,,,Copenhagen,,,,,,"<img src=""ug-flag-denmark.svg"" />",,,"<img src=""ug-map-denmark.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
5)Q@s0rds,Estonia,,,,Tallinn,,,,,,"<img src=""ug-flag-estonia.svg"" />",,,"<img src=""ug-map-estonia.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
"iDlf,{rw71","Faroe Islands",,"Constituent country in the Kingdom of Denmark.",,Tórshavn,,,,,,"<img src=""ug-flag-faroe_islands.svg"" />","Iceland (blue background, red and white cross), Norway (red background, blue and white cross)",,"<img src=""ug-map-faroe_islands.png"" />",UG::Europe
"iK8dA,t]9u",Finland,,,,Helsinki,,,,,,"<img src=""ug-flag-finland.svg"" />",,,"<img src=""ug-map-finland.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
hgM#_P8X&X,Iceland,,,,Reykjavík,,,,,,"<img src=""ug-flag-iceland.svg"" />","Norway (red background, blue cross), Faroe Islands (white background, red and blue cross)",,"<img src=""ug-map-iceland.png"" />","UG::Europe UG::Sovereign_State"
"qyC@,:!`--",Ireland,,,,Dublin,,,,,,"<img src=""ug-flag-ireland.svg"" />","Ivory Coast (green and orange flipped, narrower)",,"<img src=""ug-map-ireland.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
a|+2%dYY*5,Italy,,,,Rome,,,,,,"<img src=""ug-flag-italy.svg"" />",,,"<img src=""ug-map-italy.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"
"kp[>1&>A,$",Latvia,,,,Riga,,,,,,"<img src=""ug-flag-latvia.svg"" />","Austria (brighter red, wider white band)",,"<img src=""ug-map-latvia.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
jl|.Fb5A*|,Liechtenstein,,,,Vaduz,,,,,,"<img src=""ug-flag-liechtenstein.svg"" />",,,"<img src=""ug-map-liechtenstein.png"" />","UG::Europe UG::Sovereign_State"
i}a{7=hw-t,Lithuania,,,,Vilnius,,,,,,"<img src=""ug-flag-lithuania.svg"" />",,,"<img src=""ug-map-lithuania.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
gbA2F8~vwh,Luxembourg,,,,"Luxembourg City",,"Officially Luxembourg.",,,,"<img src=""ug-flag-luxembourg.svg"" />","Netherlands (darker blue)",,"<img src=""ug-map-luxembourg.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
pe!a~})jr(,"North Macedonia",,"Formerly known as Macedonia.",,Skopje,,,,,,"<img src=""ug-flag-north_macedonia.svg"" />",,,"<img src=""ug-map-north_macedonia.png"" />","UG::Europe UG::Sovereign_State"
l-N;VrJ@wL,Malta,,,,Valletta,,,,,,"<img src=""ug-flag-malta.svg"" />",,,"<img src=""ug-map-malta.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"
|[%dgi.pe,Moldova,,,,Chișinău,,,,,,"<img src=""ug-flag-moldova.svg"" />","Andorra (narrower, coat of arms with motto)",,"<img src=""ug-map-moldova.png"" />","UG::Europe UG::Sovereign_State"
kBGh@}1aE(,Monaco,,,,Monaco,,,,,,"<img src=""ug-flag-monaco.svg"" />","Indonesia (wider, brighter red), Poland (red and white flipped, wider)",,"<img src=""ug-map-monaco.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"
s@WA4dY|%c,Montenegro,,,,Podgorica,,"Cetinje is an honorary capital.",,,,"<img src=""ug-flag-montenegro.png"" />",,,"<img src=""ug-map-montenegro.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"
mzohP<k3{#,Netherlands,,,,Amsterdam,,"While Amsterdam is the official capital, The Hague is the seat of the executive and legislative branches.",,,,"<img src=""ug-flag-netherlands.svg"" />","Luxembourg (lighter blue)",,"<img src=""ug-map-netherlands.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
j2D=B[!!bW,Norway,,,,Oslo,,,,,,"<img src=""ug-flag-norway.svg"" />","Iceland (blue background, red cross), Faroe Islands (white background, red and blue cross)",,"<img src=""ug-map-norway.png"" />","UG::Europe UG::Sovereign_State"
dAKb5_%x?4,Poland,,,,Warsaw,,,,,,"<img src=""ug-flag-poland.svg"" />","Indonesia (white and red flipped, brighter red), Monaco (white and red flipped, narrower)",,"<img src=""ug-map-poland.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
oD=}Dl&](;,Portugal,,,,Lisbon,,,,,,"<img src=""ug-flag-portugal.svg"" />",,,"<img src=""ug-map-portugal.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
h&LzDmwPs.,Romania,,,,Bucharest,,,,,,"<img src=""ug-flag-romania.svg"" />","Chad (slightly darker blue)",,"<img src=""ug-map-romania.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
tRl%xwDu>d,Russia,,,,Moscow,,,,,,"<img src=""ug-flag-russia.svg"" />",,,"<img src=""ug-map-russia.png"" />","UG::Europe UG::Sovereign_State"
his*oE$.bt,"San Marino",,,,"City of San Marino",,,,,,"<img src=""ug-flag-san_marino.png"" />",,,"<img src=""ug-map-san_marino.png"" />","UG::Europe UG::Sovereign_State"
sU}vJmyFCk,Serbia,,,,Belgrade,,,,,,"<img src=""ug-flag-serbia.png"" />",,,"<img src=""ug-map-serbia.png"" />","UG::Europe UG::Sovereign_State"
o_Qs1fsA*`,Slovakia,,,,Bratislava,,,,,,"<img src=""ug-flag-slovakia.svg"" />",,,"<img src=""ug-map-slovakia.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
etAIJgAn)8,Slovenia,,,,Ljubljana,,,,,,"<img src=""ug-flag-slovenia.svg"" />",,,"<img src=""ug-map-slovenia.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"
db{up5I>x|,Spain,,,,Madrid,,,,,,"<img src=""ug-flag-spain.svg"" />",,,"<img src=""ug-map-spain.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"
q]au(Cz(^`,Sweden,,,,Stockholm,,,,,,"<img src=""ug-flag-sweden.svg"" />",,,"<img src=""ug-map-sweden.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
j^y9}r#a`i,Switzerland,,,,Bern,,"Switzerland has no official capital; Bern is the de facto capital.",,,,"<img src=""ug-flag-switzerland.svg"" />",,,"<img src=""ug-map-switzerland.png"" />","UG::Europe UG::Sovereign_State"
h(8o@usM_h,Turkey,,,,Ankara,,,,,,"<img src=""ug-flag-turkey.svg"" />",,,"<img src=""ug-map-turkey.png"" />","UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State"
fGeuUP`?$F,Ukraine,,,,Kiev,,,,,,"<img src=""ug-flag-ukraine.svg"" />",,,"<img src=""ug-map-ukraine.png"" />","UG::Europe UG::Sovereign_State"
kW{?TY+Qy@,"Vatican City",,,,"Vatican City",,,,,,"<img src=""ug-flag-vatican_city.svg"" />",,,"<img src=""ug-map-vatican_city.png"" />","UG::Europe UG::Sovereign_State"
aoo{E3^%kC,Armenia,,,,Yerevan,,,,,,"<img src=""ug-flag-armenia.svg"" />",,,"<img src=""ug-map-armenia.png"" />","UG::Europe UG::Sovereign_State"
iWJ];?5|N/,Cyprus,,,,Nicosia,,,,,,"<img src=""ug-flag-cyprus.svg"" />",,,"<img src=""ug-map-cyprus.png"" />","UG::Asia UG::European_Union UG::Mediterranean UG::Middle_East UG::Sovereign_State"
gMdH0b17|`,Kazakhstan,,,,Nur-Sultan,,"Known as Astana until March 2019.",,,,"<img src=""ug-flag-kazakhstan.svg"" />",,,"<img src=""ug-map-kazakhstan.png"" />","UG::Asia UG::Sovereign_State"
hmmcO+mVAb,Egypt,,,,Cairo,,,,,,"<img src=""ug-flag-egypt.svg"" />","Iraq (text instead of emblem), Syria (two stars instead of emblem), Yemen (no emblem)",,"<img src=""ug-map-egypt.png"" />","UG::Africa UG::Mediterranean UG::Middle_East UG::Sovereign_State"
