File,Source,License,Modifications
ug-map-aegean_sea.png,not upstreamed yet,CC BY-SA 3.0,
ug-map-afghanistan.png,https://commons.wikimedia.org/wiki/File:Afghanistan_in_its_region.svg,CC BY-SA 3.0,
ug-map-africa-nobox.png,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(red)_(W3).svg,CC BY-SA 3.0,grid removed
ug-map-akrotiri_and_dhekelia.png,https://commons.wikimedia.org/wiki/File:Akrotiri_and_Dhekelia_in_United_Kingdom.svg,CC BY-SA 3.0,colours adjusted
ug-map-aland_islands.png,https://commons.wikimedia.org/wiki/File:Aland_in_its_region.svg,CC BY-SA 3.0,
ug-map-albania.png,https://commons.wikimedia.org/wiki/File:Albania_in_its_region.svg,CC BY-SA 3.0,
ug-map-algeria.png,https://commons.wikimedia.org/wiki/File:Algeria_in_its_region.svg,CC BY-SA 3.0,
ug-map-american_samoa.png,https://commons.wikimedia.org/wiki/File:American_Samoa_in_its_region.svg,CC BY-SA 3.0,
ug-map-andorra.png,https://commons.wikimedia.org/wiki/File:Andorra_in_its_region.svg,CC BY-SA 3.0,
ug-map-angola.png,https://commons.wikimedia.org/wiki/File:Angola_in_its_region.svg,CC BY-SA 3.0,
ug-map-anguilla.png,https://commons.wikimedia.org/wiki/File:Anguilla_in_its_region_(zoom).svg,CC BY-SA 3.0,"colours adjusted for consistency, zoom box moved"
ug-map-antarctica-nobox.png,https://commons.wikimedia.org/wiki/File:Antarctica_in_the_world_(red)_(W3).svg,CC BY-SA 3.0,grid removed
ug-map-antigua_and_barbuda.png,https://commons.wikimedia.org/wiki/File:Antigua_and_Barbuda_in_its_region_(zoomed).svg,CC BY-SA 3.0,colours adjusted for consistency
ug-map-arabian_sea.png,not upstreamed yet,CC BY-SA 3.0,
ug-map-aral_sea.png,not upstreamed yet,CC BY-SA 3.0,
ug-map-arctic_ocean-nobox.png,https://commons.wikimedia.org/wiki/File:Arctic_Ocean_in_the_world_(blue)_(W3)_(CWF).svg,CC BY-SA 4.0,
ug-map-argentina.png,https://commons.wikimedia.org/wiki/File:Argentina_in_its_region_(%2Ball_claims_wo_Antarctica_hatched).svg,CC BY-SA 3.0,
ug-map-armenia.png,https://commons.wikimedia.org/wiki/File:Armenia_in_its_region.svg,CC BY-SA 3.0,
ug-map-aruba.png,https://commons.wikimedia.org/wiki/File:Aruba_in_its_region_(zoom).svg,CC BY-SA 3.0,colours adjusted for consistency
ug-map-asia-nobox.png,https://commons.wikimedia.org/wiki/File:Asia_in_the_world_(red)_(W3).svg,CC BY-SA 3.0,grid removed
ug-map-atlantic_ocean-nobox.png,https://commons.wikimedia.org/wiki/File:Atlantic_Ocean_in_the_world_(blue)_(W3)_(CWF).svg,CC BY-SA 4.0,
ug-map-australia.png,https://commons.wikimedia.org/wiki/File:Australia_in_its_region.svg,CC BY-SA 3.0,
ug-map-austria.png,https://commons.wikimedia.org/wiki/File:Austria_in_its_region.svg,CC BY-SA 3.0,
ug-map-azerbaijan.png,https://commons.wikimedia.org/wiki/File:Azerbaijan_in_its_region_(claimed_hatched).svg,CC BY-SA 3.0,
ug-map-azores.png,https://commons.wikimedia.org/wiki/File:Azores_in_its_region.svg,CC BY-SA 3.0,
ug-map-bahrain.png,https://commons.wikimedia.org/wiki/File:Bahrain_in_its_region.svg,CC BY-SA 3.0,
