country,country info,country info:de,country info:es,country info:fr,country info:nb,country info:cs,country info:ru,country info:nl,country info:sv,country info:pt,country info:zh,country info:zh-tw,country info:pl,country info:it,country info:da
Gibraltar,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk kronkoloni.,Zámořské území Velké Británie.,Заморская территория Великобритании.,Overzees land van het Verenigd Koninkrijk.,Brittiskt  territorium.,Território ultramarino do Reino Unido.,英国(U.K.)的海外领土。,英國的海外領土。,Terytorium zamorskie Wielkiej Brytanii.,Territorio d'oltremare del Regno Unito.,Oversøisk territorie i Storbritannien.
Guernsey,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Kanaløy underlagt britisk kronbesittelse.,Britské korunní závislé území.,Зависимость короны от Соединенного Королевства.,Brits Kroonbezit.,Brittisk kronbesittning.,Dependência da coroa do Reino Unido.,英国(U.K.)的皇家属地。,英國皇家屬地。,Dependencja korony brytyjskiej.,Dipendenza della Corona britannica.,Britisk kronbesiddelse.
Isle of Man,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Også kalt Isle of Man. Kanaløy underlagt britisk kronbesittelse. Hverken del av Storbritannia eller EU.,Britské korunní závislé území.,Зависимость Соединенного Королевства от короны.,Brits Kroonbezit.,Brittisk kronbesittning.,Ilha de Man,英国(U.K.)的皇家属地。,英國皇家屬地。,Dependencja korony brytyjskiej.,Dipendenza della Corona britannica.,Britisk kronbesiddelse.
Jersey,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Kanaløy underlagt britisk kronbesittelse.,Britské korunní závislé území.,Зависимость Соединенного Королевства от короны.,Brits Kroonbezit.,Brittisk kronbesittning.,Dependência da coroa do Reino Unido.,英国(U.K.)的皇家属地。,英國皇家屬地。,Dependencja korony brytyjskiej.,Dipendenza della Corona britannica.,Britisk kronbesiddelse.
Macau,Special Administrative Region of China.,Sonderverwaltungszone Chinas.,Región administrativa especial de China.,Région administrative spéciale de Chine.,Også kalt Macau. Spesiell administrativ region i Kina.,Zvláštní administrativní oblast Číny.,Особый административный район Китая.,Speciale bestuurlijke regio van de volksrepubliek China.,"Särskild administrativ region i Kina, stavas alternativt Macau.",Região Administrativa Especial da China.,中国特别行政区。,中國的特別行政區。,Specjalny region administracyjny Chin.,Regione amministrativa speciale della Cina.,Særlig administrativ region i Kina.
Madeira,Autonomous region of Portugal.,Autonome Region von Portugal.,Región autónoma de Portugal.,Région autonome du Portugal.,Selvstyrt region i Portugal.,Autonomní region Portugalska.,Автономная область Португалии.,Autonome regio van Portugal.,Portugisisk autonom region.,Região Autônoma de Portugal.,葡萄牙(Portugal)自治区。,葡萄牙的自治區。,Terytorium autonomiczne Portugalii.,Regione autonoma del Portogallo.,Selvstændig region i Portugal.
New Caledonia,Overseas territory of France.,Französisches Überseegebiet.,Territorio de ultramar de Francia.,Territoire français d'outre-mer.,Fransk oversjøisk territorium i det sørvestlige Stillehavet.,Zámořské území Francie.,Заморская территория Франции.,Overzees land van Frankrijk.,Franskt utomeuropeiskt territorium.,Território ultramarino da França.,法国(France)的海外领土。,法國的海外領土。,Terytorium zamorskie Francji.,Territorio d'oltremare della Francia.,Fransk oversøisk departement.
Northern Cyprus,State recognised only by Turkey and claimed by Cyprus.,Staat nur von der Türkei anerkannt und von Zypern beansprucht.,Estado reconocido solo por Turquía y reclamado por Chipre.,État reconnu uniquement par la Turquie et revendiqué par Chypre.,Selverklært øyrepublikk på Kypros som bare Tyrkia anerkjenner.,Stát uznávaný pouze Tureckem a nárokovaný Kyprem.,"Государство, признанное только Турцией, на которое претендует Кипр.",Staat enkel erkend door Turkije en opgeëist door Cyprus.,"Enbart erkänd av Turkiet, görs anspråk på av Cypern.",Estado reconhecido apenas pela Turquia e reivindicado por Chipre.,塞浦路斯(Cyprus)声称拥有主权的地区但仅被土耳其(Turkey)承认。,只被土耳其承認，賽普勒斯宣稱擁有該地區主權。,"Państwo uznawane tylko przez Turcję, terytorium sporne z Cyprem.",Stato riconosciuto solamente dalla Turchia e rivendicato da Cipro.,Stat som kun bliver anerkendt af Tyrkiet og som Cypern gør krav på.
Somaliland,Independent state claimed by Somalia.,"Unabhängiger Staat, von Somalia beansprucht.",Estado independiente reclamado por Somalia.,État indépendant revendiqué par la Somalie.,"Utbryterrepublikk i Somalia. Fungerer som selvstendig stat, men ikke anerkjent av andre.","Vzácně označovaný jako Somálijsko, nezávislý stát nárokovaný Somálskem.","Независимое государство, на которое претендует Сомали.",Onafhankelijke staat opgeëist door Somalië.,"Självutropad stat, görs anspråk på av Somalien.",Estado independente reivindicado pela Somália.,索马里(Somalia)宣称拥有主权的独立国家。,索馬利亞宣稱擁有該地區主權，但目前是獨立狀態。,"Państwo nieuznawane, terytorium sporne z Somalią.",Stato indipendente rivendicato dalla Somalia.,Uafhængig stat som Somalia gør krav på.
United States Virgin Islands,Unincorporated territory of the United States.,Nichtinkorporiertes US-amerikanisches Außengebiet.,Territorio no incorporado de los Estados Unidos.,Territoire non incorporé des États-Unis.,Uinnlemmet territorium i USA.,Nezačleněné území Spojených států amerických.,Неинкорпорированная территория Соединенных Штатов.,Gebied zonder rechtspersoonlijkheid van de Verenigde Staten.,Amerikanskt icke-inkorporerat område.,Território não incorporado dos Estados Unidos.,美国(U.S.)无建制属地。,美國的屬地。,Terytorium nieinkorporowane Stanów Zjednoczonych.,Territorio non incorporato degli Stati Uniti.,Et såkaldt Unincorporated Territory under USA.
Åland Islands,Autonomous region of Finland.,Autonome Region Finnlands. Auch Ålandinseln.,Región autónoma de Finlandia.,Province autonome de Finlande.,Selvstyrt og delimilitarisert øygruppe og landskap i Finland.,Autonomní region Finska.,Автономная область Финляндии.,Autonome regio van Finland.,Självstyrande del av Finland.,Região autônoma da Finlândia.,芬兰(Finland)自治区。,芬蘭的自治區。,Terytorium autonomiczne Finlandii.,Regione autonoma della Finlandia.,Selvstyrende region i Finland.
